CPU SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ   MINMHZ       MHZ
  0      0    0 0:0:0:0          yes 5000.0000 800.0000 2203.5371
  1      0    0 0:0:0:0          yes 5000.0000 800.0000 3149.2710
  2      0    1 4:4:1:0          yes 5000.0000 800.0000 3211.7351
  3      0    1 4:4:1:0          yes 5000.0000 800.0000  800.0000
  4      0    2 8:8:2:0          yes 5000.0000 800.0000 3976.1570
  5      0    2 8:8:2:0          yes 5000.0000 800.0000  800.0000
  6      0    3 12:12:3:0        yes 5000.0000 800.0000  799.5490
  7      0    3 12:12:3:0        yes 5000.0000 800.0000 4482.1519
  8      0    4 16:16:4:0        yes 5200.0000 800.0000 4987.7939
  9      0    4 16:16:4:0        yes 5200.0000 800.0000  800.0000
 10      0    5 20:20:5:0        yes 5200.0000 800.0000 3874.1641
 11      0    5 20:20:5:0        yes 5200.0000 800.0000  800.0000
 12      0    6 24:24:6:0        yes 5000.0000 800.0000  801.3980
 13      0    6 24:24:6:0        yes 5000.0000 800.0000  800.0000
 14      0    7 28:28:7:0        yes 5000.0000 800.0000  800.0000
 15      0    7 28:28:7:0        yes 5000.0000 800.0000  800.0000
 16      0    8 32:32:8:0        yes 3700.0000 800.0000 3700.4709
 17      0    9 33:33:8:0        yes 3700.0000 800.0000 3713.7500
 18      0   10 34:34:8:0        yes 3700.0000 800.0000 2732.7271
 19      0   11 35:35:8:0        yes 3700.0000 800.0000 3162.4900
 20      0   12 36:36:9:0        yes 3700.0000 800.0000 3699.9880
 21      0   13 37:37:9:0        yes 3700.0000 800.0000  800.0000
 22      0   14 38:38:9:0        yes 3700.0000 800.0000  800.0000
 23      0   15 39:39:9:0        yes 3700.0000 800.0000 3698.4800
