COMMAND     PID       USER   FD   TYPE DEVICE SIZE/OFF NLINK      NODE NAME
elogind-d  1576       root    8u   REG   0,31        0     0      1537 /sys/fs/cgroup/openrc.elogind/memory.pressure
supervise  1764       root   14w   REG   0,22        0     0      2464 /run/openrc/exclusive/pam_openrc[tarilka0gg] (deleted)
niri       1810 tarilka0gg   35u   REG    0,1    38927     0      4096 /memfd:smithay-keymap (deleted)
niri       1810 tarilka0gg   44u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
niri       1810 tarilka0gg   47u   REG    0,1     3840     0      5121 /memfd:smithay-dmabuffeedback-format-table (deleted)
niri       1810 tarilka0gg   76u   REG    0,1     3840     0      7168 /memfd:smithay-dmabuffeedback-format-table (deleted)
niri       1810 tarilka0gg   77u   REG    0,1     3840     0      7169 /memfd:smithay-dmabuffeedback-format-table (deleted)
niri       1810 tarilka0gg  107u   REG    0,1    25216     0      1025 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  119u   REG    0,1        4     0      4097 /memfd:noctalia-click-shield (deleted)
niri       1810 tarilka0gg  131u   REG    0,1      640     0      3444 /memfd:xwayland-shared (deleted)
niri       1810 tarilka0gg  144u   REG    0,1 34208384     0     10534 /memfd:wayland-shm (deleted)
niri       1810 tarilka0gg  153u   REG    0,1 34208384     0     10680 /memfd:wayland-shm (deleted)
niri       1810 tarilka0gg  154u   REG    0,1    25216     0      6148 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  155u   REG    0,1 34208384     0     10675 /memfd:wayland-shm (deleted)
niri       1810 tarilka0gg  189u   REG    0,1 40579840     0       443 /memfd:gdk-wayland (deleted)
niri       1810 tarilka0gg  215u   REG   0,27  1920000     0      3474 /dev/shm/.org.chromium.Chromium.LNv1eq (deleted)
niri       1810 tarilka0gg  237u   REG    0,1 34208384     0      2329 /memfd:wayland-shm (deleted)
niri       1810 tarilka0gg  280u   REG    0,1    25216     0      2270 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  283u   REG    0,1    25216     0      1211 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  308u   REG    0,1    39808     0      3281 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  327u   REG    0,1    39808     0     17560 /memfd:wayland-cursor (deleted)
niri       1810 tarilka0gg  356u   REG   0,27  6899608     0      3134 /dev/shm/.org.chromium.Chromium.tT3yll (deleted)
niri       1810 tarilka0gg  358u   REG   0,27  6899608     0      3149 /dev/shm/.org.chromium.Chromium.cRqiec (deleted)
niri       1810 tarilka0gg  373u   REG    0,1 34208384     0     16614 /memfd:wayland-shm (deleted)
noctalia   1874 tarilka0gg   22u   REG    0,1     3840     0      5120 /memfd:smithay-dmabuffeedback-format-table (deleted)
noctalia   1874 tarilka0gg   82u   REG    0,1     3840     0      5121 /memfd:smithay-dmabuffeedback-format-table (deleted)
pipewire   2103 tarilka0gg   30u   REG    0,1     2312     0         2 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   33u   REG    0,1     2312     0         3 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   37u   REG    0,1     2312     0     10241 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   42u   REG    0,1     2312     0      9217 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   44u   REG    0,1     2312     0      9218 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   48u   REG    0,1     4096     0      9219 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=4096 (deleted)
pipewire   2103 tarilka0gg   49u   REG    0,1     2312     0     10240 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
pipewire   2103 tarilka0gg   50u   REG    0,1     2312     0     10243 /memfd:pipewire-memfd:flags=0x0000000f,type=2,size=2312 (deleted)
