profile,t_s,draw_W,pl1_W,pl2_W,freq_MHz,pkg_C
low-power,5,,,,2528,72.0
low-power,10,,,,2527,72.0
low-power,15,,,,2500,71.0
low-power,20,,,,2513,71.0
low-power,25,,,,2500,69.0
low-power,30,,,,2600,69.0
low-power,35,,,,2600,69.0
low-power,40,,,,2500,69.0
low-power,45,,,,2600,68.0
low-power,50,,,,2600,68.0
low-power,55,,,,2600,68.0
low-power,60,,,,2479,68.0
low-power,65,,,,2600,68.0
low-power,70,,,,2495,68.0
low-power,75,,,,2600,67.0
low-power,80,,,,2500,68.0
low-power,85,,,,2500,67.0
low-power,90,,,,2500,67.0
low-power,95,,,,2500,66.0
low-power,100,,,,2600,67.0
low-power,105,,,,2484,66.0
low-power,110,,,,2489,66.0
low-power,115,,,,2400,67.0
low-power,120,,,,2600,67.0
balanced,5,,,,2593,67.0
balanced,10,,,,2600,67.0
balanced,15,,,,2593,66.0
balanced,20,,,,2589,66.0
balanced,25,,,,2489,65.0
balanced,30,,,,2500,66.0
balanced,35,,,,2584,65.0
balanced,40,,,,2578,65.0
balanced,45,,,,2500,66.0
balanced,50,,,,2600,66.0
balanced,55,,,,2500,64.0
balanced,60,,,,2491,64.0
balanced,65,,,,2600,65.0
balanced,70,,,,2495,65.0
balanced,75,,,,2500,65.0
balanced,80,,,,2600,64.0
balanced,85,,,,2596,65.0
balanced,90,,,,2600,65.0
balanced,95,,,,2500,64.0
balanced,100,,,,2597,66.0
balanced,105,,,,2500,65.0
balanced,110,,,,2586,64.0
balanced,115,,,,2600,65.0
balanced,120,,,,2594,64.0
performance,5,,,,2493,66.0
performance,10,,,,2583,65.0
performance,15,,,,2600,65.0
performance,20,,,,2500,66.0
performance,25,,,,2500,64.0
performance,30,,,,2600,65.0
performance,35,,,,2594,64.0
performance,40,,,,2500,65.0
performance,45,,,,2600,65.0
performance,50,,,,2594,65.0
performance,55,,,,2483,65.0
performance,60,,,,2500,64.0
performance,65,,,,2600,64.0
performance,70,,,,2600,64.0
performance,75,,,,2600,64.0
performance,80,,,,2491,65.0
performance,85,,,,2589,65.0
performance,90,,,,2494,64.0
performance,95,,,,2600,64.0
performance,100,,,,2600,64.0
performance,105,,,,2593,64.0
performance,110,,,,2500,64.0
performance,115,,,,2597,64.0
performance,120,,,,2492,64.0
