cache_mv,core_mv,vcore_mv,allcore_yc,boost_yc,verdict
-150,-165,974,FAIL_COMPUTE,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-160,-165,1034,FAIL_COMPUTE,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-165,-165,1054,FAIL_COMPUTE,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-140,-165,900,FAIL_COMPUTE,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-140,-160,732,PASS,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-150,-140,733,PASS,PASS,PASS
-160,-140,745,PASS,PASS,PASS
-165,-140,729,PASS,PASS,PASS
-180,-140,720,PASS,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-165,-165,932,FAIL_COMPUTE,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-170,-140,744,PASS,PASS,PASS
-175,-140,754,PASS,PASS,PASS
-175,-160,725,PASS,FAIL_COMPUTE,FAIL_COMPUTE(boost)
-175,-150,740,PASS,PASS,PASS
